FREQ;GEO;UNIT;AID_INSTR\TIME_PERIOD;2000 ;2001 ;2002 ;2003 ;2004 ;2005 ;2006 ;2007 ;2008 ;2009 ;2010 ;2011 ;2012 ;2013 ;2014 ;2015 ;2016 ;2017 
A;IT;PC_TOT;GUAR;0.3 ;0 ;0 ;0.1 ;0.2 ;0.1 ;0.1 ;0 ;0 ;0.1 ;1.3 ;0.4 ;0.3 ;0.5 ;0.7 ;0 ;0.6 ;0.5 
A;LT;PC_TOT;GUAR;92 ;17 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 
A;LU;PC_TOT;GUAR;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 
A;LV;PC_TOT;GUAR;0.9 ;0.8 ;2.6 ;0.2 ;6.1 ;2.6 ;0 ;0.1 ;1.5 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 
A;MT;PC_TOT;GUAR;11.6 ;8.3 ;7.9 ;3 ;1.5 ;1.3 ;1.3 ;0.8 ;0.5 ;0.5 ;0.3 ;0.1 ;0 ;0.1 ;0.7 ;0 ;0.1 ;3.8 
A;NL;PC_TOT;GUAR;2.9 ;6 ;2 ;9.8 ;8.9 ;4 ;3.4 ;2.9 ;1.3 ;1.4 ;0 ;0.2 ;0 ;0 ;0 ;0.5 ;0.2 ;0.3 
A;PL;PC_TOT;GUAR;2.3 ;13.7 ;6.4 ;2.3 ;5.6 ;2.1 ;0.2 ;1.6 ;0.2 ;0 ;0 ;0.1 ;0 ;0 ;0 ;0 ;0 ;0 
A;PT;PC_TOT;GUAR;0 ;0 ;0 ;0 ;0 ;0.1 ;0.1 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 
A;RO;PC_TOT;GUAR;0 ;0 ;0.4 ;0.7 ;0.5 ;3.3 ;1.9 ;15.8 ;2.8 ;4.1 ;1.7 ;0.8 ;0.9 ;0.8 ;0.5 ;0.6 ;0 ;0 
A;SE;PC_TOT;GUAR;0.1 ;0.2 ;0 ;0 ;0.1 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0.3 ;0.1 ;0 
A;SI;PC_TOT;GUAR;5.2 ;4.1 ;0.6 ;5.8 ;6.9 ;1.1 ;0.2 ;0.1 ;0 ;0 ;0 ;0 ;0 ;8.3 ;0.1 ;0 ;0 ;0 
A;SK;PC_TOT;GUAR;36.4 ;32.9 ;0.6 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 
A;UK;PC_TOT;GUAR;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;1.6 ;2 ;2 ;2.6 
A;AT;PC_TOT;OTH;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 
A;BE;PC_TOT;OTH;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0.1 
A;BG;PC_TOT;OTH;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;90.6 ;86.8 ;65.9 ;56.2 ;66 ;68.2 
A;CY;PC_TOT;OTH;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 
A;CZ;PC_TOT;OTH;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0.2 ;61 ;58.7 
A;DE;PC_TOT;OTH;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0.1 ;0.1 ;0.1 
A;DK;PC_TOT;OTH;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0.4 ;0.7 ;0.7 
A;EE;PC_TOT;OTH;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0.2 ;0.4 
A;EL;PC_TOT;OTH;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0.7 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0.3 
A;ES;PC_TOT;OTH;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0.2 ;0 ;0 ;0 ;1.1 ;0.2 
A;EU28;PC_TOT;OTH;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0.2 ;0 ;1.8 ;0.9 ;0.5 ;2.2 ;4.7 ;4.8 
A;FI;PC_TOT;OTH;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0.5 ;0.2 ;0.2 ;0.2 
A;FR;PC_TOT;OTH;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;5.5 ;1.9 ;0.7 ;8.2 ;8.9 ;9.1 
A;HR;PC_TOT;OTH;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;62 ;48.1 ;7.4 
A;HU;PC_TOT;OTH;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 
A;IE;PC_TOT;OTH;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0.5 ;0.4 ;0.3 
A;IT;PC_TOT;OTH;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;5.1 ;9.4 
A;LT;PC_TOT;OTH;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;48.7 ;37.8 
A;LU;PC_TOT;OTH;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;15.4 ;19.6 ;5.9 
A;LV;PC_TOT;OTH;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0.2 ;0 
A;MT;PC_TOT;OTH;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;6.1 ;19 ;9.9 ;8.7 
A;NL;PC_TOT;OTH;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0.5 ;0.4 
A;PL;PC_TOT;OTH;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;4.3 ;0.1 ;0 ;0 ;0 ;0 ;0 ;0 
A;PT;PC_TOT;OTH;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;21.6 ;22.2 ;15.6 
A;RO;PC_TOT;OTH;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0.6 ;56.8 ;58.7 
A;SE;PC_TOT;OTH;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0.1 ;0.1 ;0.1 ;0.2 ;0 ;0 ;0 
A;SI;PC_TOT;OTH;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0.1 ;0.1 ;0.1 ;0.3 
A;SK;PC_TOT;OTH;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;1.3 ;1.7 ;5.6 
A;UK;PC_TOT;OTH;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0.1 ;0.1 ;0.2 ;0.2 ;0.1 ;2.3 ;3.2 
A;AT;PC_TOT;SOFTL;11.1 ;7.8 ;7.7 ;4.1 ;5.1 ;8.5 ;4.7 ;4.2 ;7.5 ;3.2 ;1.8 ;3.8 ;3.5 ;1.9 ;1.6 ;0.8 ;0.4 ;0.6 
A;BE;PC_TOT;SOFTL;8 ;17.7 ;5.6 ;9.2 ;6.1 ;3 ;6 ;7 ;4.2 ;3.6 ;2.8 ;2.4 ;3.5 ;4.5 ;4 ;2.9 ;0.4 ;1 
A;BG;PC_TOT;SOFTL;0 ;0 ;0.1 ;0.8 ;1.6 ;1.3 ;1 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;2.4 ;2.1 ;1.4 ;0 
A;CY;PC_TOT;SOFTL;0.1 ;0.1 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 
A;CZ;PC_TOT;SOFTL;4.3 ;0.3 ;0.1 ;1.2 ;1.3 ;2 ;4.6 ;0.5 ;0.1 ;0.3 ;0.6 ;0.8 ;0.5 ;0.1 ;0.1 ;0.1 ;0 ;0 
A;DE;PC_TOT;SOFTL;2.5 ;2.1 ;1 ;1.5 ;1.5 ;2.9 ;1.6 ;3.7 ;4.9 ;1.7 ;1 ;1.9 ;2.8 ;1.4 ;0.5 ;0.5 ;0.3 ;0.3 
